iter	Logloss
0	0.6410377046
1	0.6036812546
2	0.5659700703
3	0.5340367505
4	0.5078618302
5	0.4853826996
6	0.467455383
7	0.4531388894
8	0.4396491418
9	0.4295441065
10	0.4203279935
11	0.4117101034
12	0.4058869517
13	0.4014184414
14	0.395092467
15	0.3911734361
16	0.3871322371
17	0.3844316271
18	0.3813087268
19	0.377912179
20	0.3754147261
21	0.3734185635
22	0.3714854249
23	0.3687562209
24	0.3667349204
25	0.365043901
26	0.3638890258
27	0.3622129065
28	0.3604667207
29	0.3592209449
30	0.3577098031
31	0.3564749172
32	0.355703794
33	0.354371454
34	0.3531924191
35	0.3526025104
36	0.3517396715
37	0.3507497086
38	0.349448636
39	0.3482984885
40	0.3474593203
41	0.3467387664
42	0.345922356
43	0.3452659998
44	0.3444458399
45	0.3437895816
46	0.3429120708
47	0.3422540518
48	0.3414261321
49	0.340902736
50	0.3402372833
51	0.3396259862
52	0.3392308879
53	0.3389323308
54	0.3385268969
55	0.3373079218
56	0.3365161928
57	0.3354838445
58	0.3347133082
59	0.3342174302
60	0.3332479102
61	0.3323536734
62	0.3313832405
63	0.3306739677
64	0.3295847575
65	0.3287202884
66	0.3282410711
67	0.3276192755
68	0.3271746513
69	0.3268320459
