iter	Passed	Remaining
0	155	10696
1	157	5343
2	159	3551
3	161	2658
4	163	2122
5	165	1761
6	167	1505
7	169	1312
8	171	1163
9	173	1043
10	175	943
11	177	859
12	179	787
13	181	726
14	183	672
15	185	625
16	187	584
17	189	547
18	191	513
19	193	483
20	195	455
21	197	430
22	199	407
23	201	385
24	203	365
25	205	347
26	207	329
27	209	313
28	210	298
29	212	283
30	214	270
31	216	257
32	218	245
33	220	233
34	222	222
35	224	211
36	226	201
37	228	192
38	230	182
39	232	174
40	233	165
41	235	157
42	237	149
43	239	141
44	241	134
45	243	126
46	245	120
47	247	113
48	249	106
49	251	100
50	253	94
51	255	88
52	257	82
53	259	76
54	260	71
55	262	65
56	264	60
57	266	55
58	268	49
59	270	45
60	271	40
61	273	35
62	275	30
63	277	26
64	279	21
65	281	17
66	282	12
67	284	8
68	286	4
69	288	0
